Number,Date,Question,Answer,Hashtag,Countries,Link,0
289,8/6/2018,"How will the following Iran Freedom and Counter-Proliferation Act (IFCA) terms be interpreted: “Iran,” “knowingly,” “significant,” and “transfer”?","As a general matter, we intend to rely, where applicable, on definitions of terms previously included in Treasury regulations.

“Iran”

The Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR) define “Iran” as the Government of Iran and the territory of Iran and any other territory or marine area, including the exclusive economic zone and continental shelf, over which the Government of Iran claims sovereignty, sovereign rights, or jurisdiction, provided that the Government of Iran exercises partial or total de facto control over the area or derives a benefit from economic activity in the area pursuant to international arrangements. (31 CFR § 561.329)

“knowingly”

The IFSR define “knowingly” with respect to conduct, a circumstance, or a result, to mean that a person has actual knowledge, or should have known, of the conduct, the circumstance, or the result. (31 CFR § 561.314)

“significant”

As a general matter, in determining for purposes of IFCA and relevant Executive orders whether transactions, financial transactions, or financial services are significant, the Department of the Treasury will rely on the interpretation set out in §561.404 of the IFSR. The IFSR provide that the Department of the Treasury may consider the totality of the facts and circumstances set forth a list of broad factors that can play a role in the determination whether transactions, financial services, and financial transactions are significant, including: (a) the size, number, and frequency of the transactions, financial services, or financial transactions; (b) the nature of the transactions, financial services, or financial transactions, including their type, complexity, and commercial purpose; (c) the level of awareness of management and whether the transactions are part of a pattern of conduct; (d) the nexus of the transactions, financial services, and financial transactions and blocked persons; (e) the impact of the transactions, financial services, and financial transactions on statutory objectives; (f) whether the transactions, financial services, and financial transactions involve deceptive practices; (g) whether the transactions solely involve the passive holdings of Central Bank of Iran (CBI) reserves or repayment by the CBI of official development assistance or the transfer of funds required as a condition of Iran’s membership in an international financial institution; and (h) other relevant factors that the Secretary of the Treasury deems relevant. We anticipate adopting a similar approach to interpreting the term “significant” as it applies to goods or services. (31 C.F.R. §561.404) 

“transfer”

We anticipate that regulations to be promulgated will define “transfer” to include import, transshipment, export, or reexport, whether direct or indirect. ","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
290,6/3/2013,"Are payments or deliveries that are made on or after July 1, 2013, for contracts that existed prior to July 1, 2013, exempted from IFCA provisions?","There is no general exception for payments, sales, deliveries, or transfers arising out of contracts entered into prior to July 1, 2013, on or after which date certain activities become sanctionable under IFCA . The assessment of whether such payments are significant or result in the transfer of significant goods or services or significant financial support will be done on a case-by-case basis in line with the criteria discussed above.","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
291,,,,,,,
292,8/6/2018,What are the implications of IFCA on the provision of humanitarian goods to the people of Iran?,"IFCA generally excepts from sanctions transactions for the sale of agricultural commodities, food, medicine, or medical devices to Iran, as set out in more detail in Q&As 297 and 304.","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
293,8/6/2018,"What will the energy, shipping, and shipbuilding sectors of Iran mean for the purposes of IFCA?","We anticipate that regulations to be promulgated will define energy sector of Iran to include activities involving the exploration, extraction, production, refinement, or liquefaction of petroleum, natural gas, or petroleum products in Iran. (See also discussion of activities involving natural gas in Q&A 297.)

We anticipate that regulations to be promulgated will define shipping sector of Iran to include activities involving the transportation of goods by seagoing vessels, including oil tankers and cargo vessels, flying the flag of the Islamic Republic of Iran, or owned, controlled, chartered, or operated directly or indirectly by the Government of Iran.

We anticipate that regulations to be promulgated will define shipbuilding sector of Iran to include activities involving the construction of seagoing vessels, including oil tankers and cargo vessels, in Iran. ","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
294,6/3/2013,"How will I know if someone is part of Iran s energy, shipping, or shipbuilding sectors or is a port operator in Iran?","Persons determined to be part of Iran s energy, shipping, or shipbuilding sectors, or a port operator in Iran for purposes of IFCA section 1244(c) will be identified as such on the SDN List. Knowingly providing certain significant support to persons determined to be part of Iran s energy, shipping, or shipbuilding sectors, or a port operator in Iran will have exposure to sanctions, unless the transaction is excepted (see also Q&A 297).","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
295,6/3/2013,"What are goods or services used in connection with Iran s energy, shipping, or shipbuilding sectors for purposes of IFCA section 1244(d)(3)?","We anticipate that regulations to be promulgated will define goods and services used in connection with Iran s energy, shipping and shipbuilding sectors to include:

a. Energy Sector: In the case of Iran s energy sector, goods or services that contribute to,

Iran s ability to develop its domestic petroleum resources;

The maintenance or expansion of Iran s domestic production of petroleum products; and

Iran s ability to import or export petroleum or petroleum products.

b. Shipping Sector: In the case of Iran s shipping sector,

The provision of crude and product tankers to Iran;

The provision of registry, flagging, or classification services of any kind;

The supervision of and participation in the repair of ships and their parts;

The inspection, testing, and certification of marine equipment materials and components;

The carrying out of surveys, inspections, audits and visits, and the issuance, renewal or endorsement of the relevant certificates and documents of compliance, as they relate to ships and shipping; and

Any other goods or services relating to the maintenance, supply, bunkering, and docking of vessels flying the flag of the Islamic Republic of Iran, or owned, controlled, chartered, or operated directly or indirectly by, or for or on behalf of the Government of Iran (GOI) or an Iranian person.

c. Shipbuilding Sector: In the case of Iran s shipbuilding sector,

The building and refit of vessels;

The provision or refit of items such as (i) steam turbines and their parts for marine propulsions, (ii) marine propulsion engines and parts used solely or principally with them, (iii) other gas turbines for marine propulsion, (iv) ship or boat propellers and blades, and (v) direction finding compasses and other navigational instruments and appliances solely for the maritime industry;

Other goods used in connection with building and propulsion of vessels; and

Technical assistance and training relating to, and financing of, the building, maintenance or re-fitting of vessels.

Sections 1244(d)(1) and (2) of IFCA make sanctionable certain transactions for the sale, supply, or transfer to or from Iran of such goods and services if they are significant goods or services used in connection with Iran s energy, shipping, or shipbuilding sectors. (See Q&A 289 above for an interpretation of significant. ) The provision of goods or services identified above could be sanctionable regardless of whether any person involved in the transaction has been determined to be part of Iran s energy, shipping, or shipbuilding sectors. ","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
296,9/5/2019,Will the provision of bunkering services to a non-Iranian vessel carrying non-sanctionable goods to or from Iran be subject to sanctions?,"If a non-Iranian vessel is transporting non-sanctionable goods to or from Iran, the bunkering of that non-Iranian vessel in a country other than Iran and related payments for these bunkering services will not be subject to sanctions, only if (1) the transaction either does not involve U.S. persons (including U.S. financial institutions) or U.S.-owned or -controlled foreign entities, or the transaction is exempt from OFAC regulation or authorized by OFAC if it does involve U.S. persons (including U.S. financial institutions) or U.S.-owned or -controlled foreign entities, and (2) the transaction does not involve persons on OFAC s List of Specially Designated Nationals and Blocked Persons (SDN List) that have been designated in connection with Iran s support for international terrorism or proliferation of weapons of mass destruction, including designated Iranian financial institutions or the Islamic Revolutionary Guard Corps (IRGC), or activity that is subject to other sanctions authorities. ","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
297,8/6/2018,Are there any exceptions to the sanctions provisions of section 1244 of IFCA?,"The following transactions are excepted from the provisions of section 1244 of IFCA.

a. Transactions for the sale of agricultural commodities, food, medicine, or medical devices to Iran or for the provision of humanitarian assistance to the people of Iran.

b. The export of petroleum or petroleum products from Iran to a country with a significant reduction exception under section 1245(d)(4)(D)(i) of the National Defense Authorization Act for Fiscal Year 2012 (NDAA 2012).

c. A significant financial transaction conducted or facilitated by a foreign financial institution (FFI), provided that a significant reduction exception under 1245(d)(4)(D)(i) of NDAA 2012 applies to the country with primary jurisdiction over the FFI and the financial transaction is for trade in goods or services (i) between Iran and the country with primary jurisdiction over the FFI and (ii) not otherwise subject to sanctions under the law of the United States, and any funds owed to Iran as a result of the trade are credited to an account located in the country with primary jurisdiction over the FFI. We anticipate the implementation of these trade requirements to be similar to the trade requirements set forth in the Iranian Financial Sanctions Regulations (IFSR), in particular 31 CFR §561.203(j) and 31 CFR §561.203(k).

d. The sale, supply, or transfer of natural gas to or from Iran. IFCA section 1244, however, does set out sanctions that may apply to FFIs that conduct or facilitate a transaction for the sale, supply, or transfer of natural gas to or from Iran unless the financial transaction is for trade in goods or services (i) between Iran and the country with primary jurisdiction over the FFI and (ii) not otherwise subject to sanctions under the law of the United States, and any funds owed to Iran as a result of the trade are credited to an account located in the country with primary jurisdiction over the FFI. We anticipate the implementation of these trade requirements to be similar to the trade requirements set forth in the IFSR, in particular 31 CFR §561.203(j) and 31 CFR §561.203(k).

e. Certain activities relating to the pipeline project to supply natural gas from the Shah Deniz gas field in Azerbaijan to Europe and Turkey.","Iran Freedom and Counter-Proliferation Act (IFCA) 
Iranian Financial Sanctions Regulations (31 CFR part 561) (IFSR)",Iran,,
298,6/3/2013,"For purposes of IFCA, what materials are considered graphite, raw or semi-finished metals?","For purposes of IFCA, we anticipate that regulations to be promulgated will define graphite, raw or semi-finished metals described in section 1245(d) of IFCA to include steels; aluminum metal and its alloys; base metals of single or complex borides of titanium; beryllium metal and its alloys; boron metal and its alloys; cobalt metal and its alloys; copper infiltrated tungsten metal; copper-beryllium metal; germanium metal and its alloys; graphites; hastelloy; inconel; magnesium metal and its alloys; molybdenum metal and its alloys; neptunium-237 metal and its alloys; nickel metal and its alloys; nickel aluminide metals; niobium metal and its alloys; niobium-titanium filaments; plutonium metal and its alloys; porous nickel metal; silver infiltrated tungsten metal; tantalum metal and its alloys; tellurium metal and its alloys; titanium aluminide metals; titanium metal and its alloys; tungsten metal, tungsten carbide metal, and their alloys; uranium titanium alloy metals; and zirconium metal and its alloys and compounds. ",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
299,6/3/2013,"For purposes of IFCA, what are considered precious metals?","For purposes of IFCA, we anticipate that regulations to be promulgated will define the term precious metals to include silver (including silver plated with gold or platinum, unwrought or in semi-manufactured forms, or in powder form); gold (including gold plated with platinum, unwrought or in semi-manufactured forms, or in powder form); base metals or silver, clad with gold, not further worked than semi-manufactured; platinum, unwrought or in semi-manufactured forms, or in powder form; iridium; osmium; palladium; rhodium; ruthenium; base metals, silver or gold, clad with platinum, not further worked than semi-manufactured; waste and scrap of precious metal or of metal clad with precious metals, other waste and scrap containing precious metal or precious-metal compounds, of a kind used principally for the recovery of precious metal. ",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
300,8/6/2018,"For purposes of sanctions under section 1245, how will I know which sectors are controlled by Iran s Islamic Revolutionary Guard Corps?","Pursuant to delegated authority, the Secretary of State issues periodic reports pursuant to section 1245(e) of IFCA with respect to which sectors of the Iranian economy are controlled directly or indirectly by Iran s Islamic Revolutionary Guard Corps (IRGC). Given the opaque business environment in Iran and the significant role that the IRGC plays in the Iranian economy, OFAC recommends that a person considering business in Iran or with Iranian persons conduct due diligence sufficient to ensure that it is not knowingly engaging in transactions with the IRGC, or its officials, agents, or affiliates.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
301,8/6/2018,How will the determination be made as to whether materials are used in a manner that would make them subject to sanctions under section 1245 of IFCA?,"A FFI, prior to conducting or facilitating a significant financial transaction for the sale, supply, or transfer to or from Iran of the materials listed in 1245(d) as described in part in Q&A 298 will need to undertake due diligence to ensure that the transaction does not involve the materials being sold, supplied, or transferred, directly or indirectly, to or from Iran for sanctionable uses under section 1245.  Pursuant to delegated authority, the Secretary of State issues periodic reports pursuant to section 1245(e) of IFCA, which contains determinations on which materials identified in section 1245(d) are used by Iran as a medium for swap or barter, are listed as assets on the national balance sheet of Iran, or are used in connection with the nuclear, military, or ballistic missile programs of Iran.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
302,6/3/2013,Are there any exceptions to section 1245 of IFCA?,"A person will not be subject to sanctions under section 1245 of IFCA if a determination is made by the Department of the Treasury or the Department of State, as appropriate, that the person has established and enforced official policies, procedures, and controls to ensure that the person does not sell, supply, or transfer to or from Iran, or facilitate or conduct a significant financial transaction to sell supply, or transfer to or from Iran, materials listed in section 1245 as sanctioned under section 1245. The Department of the Treasury or the Department of State, as appropriate, will make this determination on a case by case basis as part of an investigation or enforcement action by the relevant Department. ",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
303,11/27/2019,"Which insurance, reinsurance, or underwriting activities are potentially subject to sanctions under IFCA's section 1246(a)(1)?","A number of insurance activities are subject to sanctions under IFCA, including knowingly providing insurance, reinsurance, or underwriting services to or for Iranian persons on the SDN List to or for any person designated in connection with Iran s support for international terrorism or WMD proliferation, or for activities with respect to Iran for which sanctions have been imposed (e.g., knowingly engaging in a significant transaction for the purchase, acquisition, sale, transport, or marketing of petroleum or petroleum products from Iran). However, the provision of insurance, reinsurance, or underwriting services to non-Iranian persons on the SDN List is generally not sanctionable under section 1246(a)(1) of IFCA if the provision of insurance, reinsurance or underwriting services is not to or for an Iranian person on the SDN List, to or for any person designated in connection with Iran s support for international terrorism or WMD proliferation, or for any activity with respect to Iran for which sanctions have been imposed.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
304,6/3/2013,"Are there exceptions to insuring, reinsuring, or underwriting sanctioned activities?","Yes. IFCA includes the following exceptions to insuring, reinsuring, or underwriting sanctioned activities.

a. Transactions for the sale of agricultural commodities, food, medicine, or medical devices to Iran or for the provision of humanitarian assistance to the people of Iran can be insured, reinsured, or underwritten.
b. A person that provides insurance, reinsurance, or underwriting services to sanctioned activity, if a determination is made by the Department of the Treasury or the Department of State, as appropriate, that the person has established and enforced official policies, procedures, and controls to ensure that the person does not underwrite or enter into a contract to provide insurance or reinsurance for activities targeted under section 1246 of IFCA. The Department of the Treasury or the Department of State, as appropriate, will make this determination on a case by case basis as part of an investigation or enforcement action by the relevant Department.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,6/3/2013,What is the Iran Freedom and Counter-Proliferation Act of 2012 (IFCA)?,"IFCA was signed into law on January 2, 2013, as a part of the National Defense Authorization Act for Fiscal Year 2013, and provides for several new sanctions related to Iran. IFCA authorizes broad sanctions on: certain activities related to Iran s energy, shipping, and shipbuilding sectors; the sale, supply, or transfer to or from Iran of precious and certain other metals, graphite, coal, and industrial software; the provision of underwriting services, insurance, or reinsurance to activities and persons targeted by U.S. sanctions against Iran; financial transactions involving sanctioned Iranian individuals and entities; and persons involved in the diversion of goods intended for the Iranian people. Most of the IFCA provisions target conduct occurring on or after July 1, 2013.

The U.S. Department of the Treasury will be issuing regulations to implement certain provisions in IFCA. In addition, the U.S. Department of State expects to adopt an interpretation of IFCA similar to that set forth below.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
314,,,,,,,
315,8/6/2018,Will routine payments or fees be subject to sanctions if they are made to a person determined to be a port operator in Iran and if the vessel is carrying non-sanctioned goods?,"Any company involved in loading or unloading cargo in Iran should exercise great caution to avoid engaging in transactions with entities designated by the United States, including the Tidewater Middle East Co. which was designated for its involvement in Iran s proliferation of weapons of mass destruction. However, to the extent that a shipping company transacts with port operators in Iran that have been identified as such under IFCA but not otherwise designated, and as long as such payments are limited strictly to routine fees including port dues, docking fees, or cargo handling fees, paid for the loading and unloading of non-sanctioned goods at Iranian ports, we anticipate that such transactions would not be considered significant transactions for the purposes of IFCA. Non-routine and/or large payments or fees that materially exceed standard industry rates could expose a person to sanctions. Furthermore, providing any port operator in Iran with any significant financial, material, technological, or other support could expose a person to sanctions.",Iran Freedom and Counter-Proliferation Act of 2012 (IFCA),Iran,,
316,,,,,,,
317,,,,,,,
318,,,,,,,
319,,,,,,,
320,,,,,,,
321,,,,,,,
322,,,,,,,
323,,,,,,,
324,,,,,,,
325,,,,,,,
326,,,,,,,
327,,,,,,,
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,,,,,,,
335,,,,,,,
336,,,,,,,
337,2/7/2014,What are key changes made by amended General License D-1?,"First, GL D-1 expands the authorization in GL D to permit the exportation, reexportation, or provision, directly or indirectly, to Iran of certain personal communications software, hardware, and related services subject to Commerce's Export Administration Regulations, 15 C.F.R. parts 730 through 774 ( EAR ) (rather than just the exportation or reexportation from the United States or by a U.S. person of such software, hardware, and services). See GL D-1, paragraphs (a)(2)(i) & (a)(3). For purposes of GL D-1, the term provision could include, for example, an in-country transfer of covered software or hardware. The general license now authorizes, for example, a non-U.S. person located outside the United States to export certain hardware and software subject to the EAR to Iran. See FAQ #341.

Second, GL D-1 adds new authorizations for the exportation, reexportation, or provision, directly or indirectly, by a U.S. person located outside the United States to Iran of certain software and hardware not subject to the EAR. See GL D-1, paragraphs (a)(2)(ii) & (a)(3). The general license now authorizes, for example, a U.S. company to export to Iran, from a location outside the United States, certain hardware or software that is not subject to the EAR (including foreign-origin hardware or software containing less than a de minimis amount of U.S. controlled content). See FAQ #342.

Third, a new Note has been added to paragraphs (a)(2) and (a)(3) clarifying that the authorization in those paragraphs includes the exportation, reexportation, or provision, directly or indirectly, of the authorized items by an individual leaving the United States for Iran. GL D-1 also adds a new authorization for the importation by an individual into the United States of certain hardware and software previously exported by the individual to Iran pursuant to other provisions of GL D-1 or 31 C.F.R. § 560.540. See GL D-1, paragraph (a)(5). The general license now authorizes, for example, an individual to carry a smartphone that falls within the scope of the GL D-1 authorization while traveling to and from Iran. See FAQ #343.

Finally, to further ensure that the sanctions on Iran do not have an unintended chilling effect on the willingness of companies to make available certain publicly available, no cost personal communications tools to persons in that country, GL D-1 adds a new authorization related to the potential recipients of certain publicly available, no cost services and software. See GL D-1, paragraph (a)(6).

Notwithstanding these changes, nothing in this general license relieves an exporter from compliance with the export license requirements of another Federal agency. ","GENERAL LICENSE D-1
31 C.F.R. Fart 560",Iran,,
338,,,,,,,
339,,,,,,,
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
381,,,,,,,
382,,,,,,,
383,,,,,,,
384,,,,,,,
385,,,,,,,
386,,,,,,,
387,,,,,,,
388,,,,,,,
389,,,,,,,
390,,,,,,,
391,,,,,,,
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,08/11/2020,"Does OFAC consider entities over which one or more blocked persons exercise control, but of which they do not own 50 percent or more in the aggregate, to be blocked pursuant to OFAC s 50 Percent Rule?","No. OFAC s 50 Percent Rule  speaks only to ownership and not to control. An entity that is controlled (but not owned 50 percent or more) by one or more blocked persons is not considered automatically blocked pursuant to OFAC s 50 Percent Rule. OFAC may, however, designate the entity under an available sanctions criteria or otherwise identify the entity as blocked property if determined to be controlled by one or more designated persons and add the entity to OFAC s List of Specially Designated Nationals and Blocked Persons (SDN List). 

OFAC urges caution when considering a transaction with an entity that is not a blocked person (a non-blocked entity) in which one or more blocked persons have a significant ownership interest that is less than 50 percent or which one or more blocked persons may control by means other than a majority ownership interest.  Such non-blocked entities may become the subject of future designations or enforcement actions by OFAC.  In addition, persons should be cautious in dealing with such a non-blocked entity to ensure that they are not, for example, dealing with a blocked person representing the non-blocked entity, such as entering into a contract that is signed by a blocked person.  Please also note that some sanctions programs (e.g., the Crimea region of Ukraine, Cuba, Iran, North Korea, Syria, and Venezuela) block certain persons without an OFAC designation; these blockings are based on criteria separate from OFAC s 50 Percent Rule, such as the blocking of persons that meet the definition of a blocked government. ",Entities Owned by Persons Whose Property and Interest in Property are Blocked (50% Rule),,,
399,08/13/2014,Does OFAC aggregate ownership stakes of all blocked persons when determining whether an entity is blocked pursuant to OFAC s 50 Percent Rule?,"Yes. On August 13, 2014, OFAC indicated in its revised 50 Percent Rule guidance that OFAC's 50 Percent Rule applies to entities owned 50 percent or more in the aggregate by one or more blocked persons. Accordingly, if Blocked Person X owns 25 percent of Entity A, and Blocked Person Y owns another 25 percent of Entity A, Entity A is considered to be blocked. This is so because Entity A is owned 50 percent or more in the aggregate by one or more blocked persons. For the purpose of calculating aggregate ownership, the ownership interests of persons blocked under different OFAC sanctions programs are aggregated.",Entities Owned by Persons Whose Property and Interest in Property are Blocked (50% Rule),,,
400,08/13/2014,"As explained in FAQ 398, OFAC s 50 Percent Rule does not apply if one or more individuals who are blocked persons (blocked individuals) control, but do not own 50 percent or more of, an entity. Can persons engage in negotiations, enter into contracts, or process transactions involving a blocked individual when that blocked individual is acting on behalf of the non-blocked entity that he or she controls (e.g., a blocked individual is an executive of a non-blocked entity and is signing a contract on behalf of the non-blocked entity)?","No. OFAC sanctions generally prohibit transactions involving, directly or indirectly, a blocked person, absent authorization from OFAC, even if the blocked person is acting on behalf of a non-blocked entity. Therefore, U.S. persons should be careful when conducting business with non-blocked entities in which blocked individuals are involved; U.S. persons may not, for example, enter into contracts that are signed by a blocked individual.",Entities Owned by Persons Whose Property and Interest in Property are Blocked (50% Rule),,,
401,08/13/2014,OFAC s 50 Percent Rule states that the property and interests in property of entities directly or indirectly owned 50 percent or more in the aggregate by one or more blocked persons are considered blocked. How does OFAC interpret indirect ownership as it relates to certain complex ownership structures?,"""Indirectly,"" as used in OFAC s 50 Percent Rule, refers to one or more blocked persons' ownership of shares of an entity through another entity or entities that are 50 percent or more owned in the aggregate by the blocked person(s). OFAC urges persons considering a potential transaction to conduct appropriate due diligence on entities that are party to or involved with the transaction or with which account relationships are maintained in order to determine relevant ownership stakes. Please see FAQ 116 for additional guidance on due diligence standards for intermediary parties to wire transfers. Please refer to the examples below for further guidance on determining whether an entity is blocked pursuant to OFAC's 50 Percent Rule.

Example 1: Blocked Person X owns 50 percent of Entity A, and Entity A owns 50 percent of Entity B. Entity B is considered to be blocked. This is so because Blocked Person X owns, indirectly, 50% of Entity B. In addition, Blocked Person X's 50 percent ownership of Entity A makes Entity A a blocked person. Entity A's 50 percent ownership of Entity B in turn makes Entity B a blocked person.

Example 2: Blocked Person X owns 50 percent of Entity A and 50 percent of Entity B. Entities A and B each own 25 percent of Entity C. Entity C is considered to be blocked. This is so because, through its 50 percent ownership of Entity A, Blocked Person X is considered to indirectly own 25 percent of Entity C; and through its 50 percent ownership of Entity B, Blocked Person X is considered to indirectly own another 25 percent of Entity C. When Blocked Person X's indirect ownership of Entity C through Entity A and Entity B is totaled, it equals 50 percent. Entity C is also considered to be blocked due to the 50 percent aggregate ownership by Entities A and B, which are themselves blocked entities due to Blocked Person X's 50 percent ownership of each.

Example 3: Blocked Person X owns 50 percent of Entity A and 10 percent of Entity B. Entity A also owns 40 percent of Entity B. Entity B is considered to be blocked. This is so because, through its 50 percent ownership of Entity A, Blocked Person X is considered to indirectly own 40 percent of Entity B. When added to Blocked Person X's direct 10 percent ownership of Entity B, Blocked Person X's total ownership (direct and indirect) of Entity B is 50 percent. Entity B is also blocked due to the 50 percent aggregate ownership by Blocked Person X and Entity A, which are themselves both blocked persons.

Example 4: Blocked Person X owns 50 percent of Entity A and 25 percent of Entity B. Entities A and B each own 25 percent of Entity C. Entity C is not considered to be blocked. This is so because, even though Blocked Person X is considered to indirectly own 25 percent of Entity C through its 50 percent ownership of Entity A, Entity B is not 50 percent or more owned by Blocked Person X, and therefore Blocked Person X is not considered to indirectly own any of Entity C through its part ownership of Entity B. Blocked Person X's total ownership (direct and indirect) of Entity C therefore does not equal or exceed 50 percent. Entity A is itself a blocked person, but its ownership of Entity C also does not equal or exceed 50 percent.

Example 5: Blocked Person X owns 25 percent of Entity A and 25 percent of Entity B. Entities A and B each own 50 percent of Entity C. Entity C is not considered to be blocked. This is so because Blocked Person X's 25 percent ownership of each of Entity A and Entity B falls short of 50 percent. Accordingly, neither Entity A nor Entity B is blocked and Blocked Person X is not considered to indirectly own any of Entity C through its part ownership of Entities A or B.",Entities Owned by Persons Whose Property and Interest in Property are Blocked (50% Rule),,,
402,08/13/2014,"How does OFAC s 50 Percent Rule apply to situations in which one or more blocked persons owned 50 percent or more of an entity, but subsequent to their designations one or more blocked persons divest their ownership stakes in the entity in a transaction that occurs entirely outside of U.S. jurisdiction such that the resulting combined ownership of the entity by blocked persons is less than 50 percent? How should a person treat property or interests in property of such an entity (1) in future transactions (post-divestment) and (2) that was properly blocked while the entity was owned 50 percent or more by one or more blocked persons?","According to OFAC's 50 Percent Rule, entities are considered blocked if they are owned 50 percent or more (directly or indirectly) in the aggregate by one or more blocked persons. If one or more blocked persons divest their ownership stake such that the resulting combined ownership by blocked persons is less than 50 percent, the entity is no longer considered automatically to be a blocked entity. Any such divestment transactions must occur entirely outside of U.S. jurisdiction and must not involve U.S. persons, as any blocked property or interests in property that come into the possession or control of a U.S. person must be blocked and reported to OFAC, and OFAC does not recognize any subsequent unlicensed transfers, through changes in ownership or otherwise, of such property.

Entities in which the aggregate of one or more blocked persons' ownership stakes has fallen below 50 percent are not considered blocked pursuant to OFAC's 50 Percent Rule, and therefore property of such entities that comes into the United States or the possession or control of a U.S. person while the aggregate of one or more blocked persons' ownership stakes is below 50 percent is not considered blocked by OFAC's 50 Percent Rule. OFAC urges caution when dealing with or processing transactions involving such entities, as those entities may become the subject of future designations or enforcement actions by OFAC. Sufficient due diligence should be conducted to determine that any purported divestment in fact occurred and that the transfer of ownership interests was not merely a sham transaction.

When the property of an entity owned 50 percent or more by a single blocked person comes within the United States or within the possession or control of a U.S. person and is blocked, the property remains blocked unless and until (1) OFAC authorizes the unblocking of or other dealings in the property or (2) OFAC removes the blocked person from the SDN List. The property remains blocked even if the blocked person's ownership of the entity subsequently falls below 50 percent. This is so because the blocked person is considered to have an interest in the blocked property, and OFAC does not recognize the unlicensed transfer of the blocked person s interest after the property becomes blocked in the United States or in the possession or control of a U.S. person. Persons holding such property may request authorization from OFAC's Licensing Division to transfer or otherwise deal in that property (the electronic application can be found on OFAC's website here), and OFAC will evaluate such requests on a case-by-case basis.

Similarly, when the property of an entity owned 50 percent or more in the aggregate by more than one blocked person comes within the United States or in the possession or control of a U.S. person and is blocked, the property remains blocked unless and until (1) OFAC authorizes the unblocking of or other dealings in the property or (2) OFAC removes from the SDN List one or more of the blocked persons such that the aggregate ownership by blocked persons falls below 50 percent. If the aggregate ownership of the entity by blocked persons falls below 50 percent not due to SDN List removal actions by OFAC but instead due to actions by one or more of the blocked persons, including the entity itself, the property remains blocked. This is so because the group of blocked persons is considered to have an interest in the blocked property, and OFAC does not recognize the unlicensed transfer of any of the blocked persons' interests after the property becomes blocked in the United States or in the possession or control of a U.S. person. Persons holding such property may request authorization from OFAC's Licensing Division to transfer or otherwise deal in that property (the electronic application can be found on OFAC s website here), and OFAC will evaluate such requests on a case-by-case basis.",Entities Owned by Persons Whose Property and Interest in Property are Blocked (50% Rule),,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
